Start, End, Cost
Ha Noi,Quang Nam,739.4564656
Ha Noi,Nghe An,492.4471959
Ha Noi,Hue,679.5971208
Ha Noi,Dak Lak,950.3410069
Ha Noi,Binh Dinh,943.4047337
Ha Noi,Quang Ngai,796.3646336
Ha Noi,Phu Yen,965.4338831
Ha Noi,Ha Tinh,517.5816539
Ha Noi,Quang Binh,587.9313064
Ha Noi,Gia Lai,865.6509417
Hai Phong,Quang Nam,839.2583663
Hai Phong,Nghe An,592.2490966
Hai Phong,Hue,779.3990215
Hai Phong,Dak Lak,1050.142908
Hai Phong,Binh Dinh,1043.206634
Hai Phong,Quang Ngai,896.1665343
Hai Phong,Phu Yen,1065.235784
Hai Phong,Ha Tinh,617.3835545
Hai Phong,Quang Binh,687.733207
Hai Phong,Gia Lai,965.4528424
Bac Ninh,Quang Nam,774.1643545
Bac Ninh,Nghe An,527.1550848
Bac Ninh,Hue,714.3050097
Bac Ninh,Dak Lak,985.0488957
Bac Ninh,Binh Dinh,978.1126226
Bac Ninh,Quang Ngai,831.0725225
Bac Ninh,Phu Yen,1000.141772
Bac Ninh,Ha Tinh,552.2895427
Bac Ninh,Quang Binh,622.6391952
Bac Ninh,Gia Lai,900.3588306
Hai Duong,Quang Nam,796.3640846
Hai Duong,Nghe An,549.354815
Hai Duong,Hue,736.5047398
Hai Duong,Dak Lak,1007.248626
Hai Duong,Binh Dinh,1000.312353
Hai Duong,Quang Ngai,853.2722526
Hai Duong,Phu Yen,1022.341502
Hai Duong,Ha Tinh,574.4892729
Hai Duong,Quang Binh,644.8389254
Hai Duong,Gia Lai,922.5585608
Thanh Hoa,Quang Nam,786.827436
Thanh Hoa,Nghe An,539.8181663
Thanh Hoa,Hue,726.9680912
Thanh Hoa,Dak Lak,997.7119772
Thanh Hoa,Binh Dinh,990.7757041
Thanh Hoa,Quang Ngai,843.735604
Thanh Hoa,Phu Yen,1012.804853
Thanh Hoa,Ha Tinh,564.9526242
Thanh Hoa,Quang Binh,635.3022767
Thanh Hoa,Gia Lai,913.0219121
Nam Dinh,Quang Nam,798.2915655
Nam Dinh,Nghe An,551.2822958
Nam Dinh,Hue,738.4322207
Nam Dinh,Dak Lak,1009.176107
Nam Dinh,Binh Dinh,1002.239834
Nam Dinh,Quang Ngai,855.1997335
Nam Dinh,Phu Yen,1024.268983
Nam Dinh,Ha Tinh,576.4167537
Nam Dinh,Quang Binh,646.7664062
Nam Dinh,Gia Lai,924.4860416
Thai Nguyen,Quang Nam,926.3932804
Thai Nguyen,Nghe An,679.3840107
Thai Nguyen,Hue,866.5339356
Thai Nguyen,Dak Lak,1137.277822
Thai Nguyen,Binh Dinh,1130.341548
Thai Nguyen,Quang Ngai,983.3014484
Thai Nguyen,Phu Yen,1152.370698
Thai Nguyen,Ha Tinh,704.5184686
Thai Nguyen,Quang Binh,774.8681211
Thai Nguyen,Gia Lai,1052.587757
Phu Tho,Quang Nam,726.2646328
Phu Tho,Nghe An,479.2553631
Phu Tho,Hue,666.405288
Phu Tho,Dak Lak,937.1491741
Phu Tho,Binh Dinh,930.2129009
Phu Tho,Quang Ngai,783.1728008
Phu Tho,Phu Yen,952.2420503
Phu Tho,Ha Tinh,504.3898211
Phu Tho,Quang Binh,574.7394736
Phu Tho,Gia Lai,852.4591089
Thai Binh,Quang Nam,808.9997232
Thai Binh,Nghe An,561.9904535
Thai Binh,Hue,749.1403784
Thai Binh,Dak Lak,1019.884264
Thai Binh,Binh Dinh,1012.947991
Thai Binh,Quang Ngai,865.9078912
Thai Binh,Phu Yen,1034.977141
Thai Binh,Ha Tinh,587.1249114
Thai Binh,Quang Binh,657.4745639
Thai Binh,Gia Lai,935.1941993
Quang Ninh,Quang Nam,853.6066989
Quang Ninh,Nghe An,606.5974292
Quang Ninh,Hue,793.7473541
Quang Ninh,Dak Lak,1064.49124
Quang Ninh,Binh Dinh,1057.554967
Quang Ninh,Quang Ngai,910.5148669
Quang Ninh,Phu Yen,1079.584116
Quang Ninh,Ha Tinh,631.7318871
Quang Ninh,Quang Binh,702.0815396
Quang Ninh,Gia Lai,979.801175
Quang Nam,Ho Chi Minh,744.1482139
Quang Nam,Can Tho,844.3031449
Quang Nam,Dong Nai,761.9740933
Quang Nam,Khanh Hoa,1030.928723
Quang Nam,Vung Tau,783.5646603
Quang Nam,Ca Mau,967.037608
Quang Nam,Soc Trang,903.9189579
Quang Nam,An Giang,851.4086644
Quang Nam,Lam Dong,949.8060213
Quang Nam,Binh Duong,756.2055932
Nghe An,Ho Chi Minh,497.1389443
Nghe An,Can Tho,597.2938752
Nghe An,Dong Nai,514.9648236
Nghe An,Khanh Hoa,783.9194533
Nghe An,Vung Tau,536.5553906
Nghe An,Ca Mau,720.0283383
Nghe An,Soc Trang,656.9096882
Nghe An,An Giang,604.3993947
Nghe An,Lam Dong,702.7967517
Nghe An,Binh Duong,509.1963236
Hue,Ho Chi Minh,684.2888691
Hue,Can Tho,784.4438001
Hue,Dong Nai,702.1147484
Hue,Khanh Hoa,971.0693781
Hue,Vung Tau,723.7053155
Hue,Ca Mau,907.1782632
Hue,Soc Trang,844.0596131
Hue,An Giang,791.5493196
Hue,Lam Dong,889.9466765
Hue,Binh Duong,696.3462484
Dak Lak,Ho Chi Minh,1196.585329
Dak Lak,Can Tho,1296.74026
Dak Lak,Dong Nai,1214.411208
Dak Lak,Khanh Hoa,1483.365838
Dak Lak,Vung Tau,1236.001775
Dak Lak,Ca Mau,1419.474723
Dak Lak,Soc Trang,1356.356073
Dak Lak,An Giang,1303.84578
Dak Lak,Lam Dong,1402.243136
Dak Lak,Binh Duong,1208.642708
Binh Dinh,Ho Chi Minh,892.9557799
Binh Dinh,Can Tho,993.1107109
Binh Dinh,Dong Nai,910.7816592
Binh Dinh,Khanh Hoa,1179.736289
Binh Dinh,Vung Tau,932.3722263
Binh Dinh,Ca Mau,1115.845174
Binh Dinh,Soc Trang,1052.726524
Binh Dinh,An Giang,1000.21623
Binh Dinh,Lam Dong,1098.613587
Binh Dinh,Binh Duong,905.0131592
Quang Ngai,Ho Chi Minh,1518.693874
Quang Ngai,Can Tho,1618.848805
Quang Ngai,Dong Nai,1536.519753
Quang Ngai,Khanh Hoa,1805.474383
Quang Ngai,Vung Tau,1558.11032
Quang Ngai,Ca Mau,1741.583268
Quang Ngai,Soc Trang,1678.464618
Quang Ngai,An Giang,1625.954324
Quang Ngai,Lam Dong,1724.351681
Quang Ngai,Binh Duong,1530.751253
Phu Yen,Ho Chi Minh,970.1256314
Phu Yen,Can Tho,1070.280562
Phu Yen,Dong Nai,987.9515107
Phu Yen,Khanh Hoa,1256.90614
Phu Yen,Vung Tau,1009.542078
Phu Yen,Ca Mau,1193.015025
Phu Yen,Soc Trang,1129.896375
Phu Yen,An Giang,1077.386082
Phu Yen,Lam Dong,1175.783439
Phu Yen,Binh Duong,982.1830107
Ha Tinh,Ho Chi Minh,522.2734022
Ha Tinh,Can Tho,622.4283331
Ha Tinh,Dong Nai,540.0992815
Ha Tinh,Khanh Hoa,809.0539112
Ha Tinh,Vung Tau,561.6898485
Ha Tinh,Ca Mau,745.1627962
Ha Tinh,Soc Trang,682.0441462
Ha Tinh,An Giang,629.5338526
Ha Tinh,Lam Dong,727.9312096
Ha Tinh,Binh Duong,534.3307815
Quang Binh,Ho Chi Minh,592.6230547
Quang Binh,Can Tho,692.7779856
Quang Binh,Dong Nai,610.448934
Quang Binh,Khanh Hoa,879.4035637
Quang Binh,Vung Tau,632.039501
Quang Binh,Ca Mau,815.5124487
Quang Binh,Soc Trang,752.3937987
Quang Binh,An Giang,699.8835051
Quang Binh,Lam Dong,798.2808621
Quang Binh,Binh Duong,604.680434
Gia Lai,Ho Chi Minh,870.3426901
Gia Lai,Can Tho,970.497621
Gia Lai,Dong Nai,888.1685694
Gia Lai,Khanh Hoa,1157.123199
Gia Lai,Vung Tau,909.7591364
Gia Lai,Ca Mau,1093.232084
Gia Lai,Soc Trang,1030.113434
Gia Lai,An Giang,977.6031405
Gia Lai,Lam Dong,1076.000497
Gia Lai,Binh Duong,882.4000693
Ho Chi Minh,Ha Noi,954.8766894
Ho Chi Minh,Hai Phong,1054.714174
Ho Chi Minh,Bac Ninh,957.2136684
Ho Chi Minh,Hai Duong,971.2333189
Ho Chi Minh,Thanh Hoa,712.1603073
Ho Chi Minh,Nam Dinh,1095.680975
Ho Chi Minh,Thai Nguyen,918.3751142
Ho Chi Minh,Phu Tho,651.5975041
Ho Chi Minh,Thai Binh,1084.972817
Ho Chi Minh,Quang Ninh,1015.544721
Can Tho,Ha Noi,1244.649437
Can Tho,Hai Phong,1344.486921
Can Tho,Bac Ninh,1246.986416
Can Tho,Hai Duong,1261.006066
Can Tho,Thanh Hoa,1001.933055
Can Tho,Nam Dinh,1385.453722
Can Tho,Thai Nguyen,1208.147862
Can Tho,Phu Tho,941.3702517
Can Tho,Thai Binh,1374.745565
Can Tho,Quang Ninh,1305.317468
Dong Nai,Ha Noi,972.7025687
Dong Nai,Hai Phong,1072.540053
Dong Nai,Bac Ninh,975.0395477
Dong Nai,Hai Duong,989.0591982
Dong Nai,Thanh Hoa,729.9861866
Dong Nai,Nam Dinh,1113.506854
Dong Nai,Thai Nguyen,936.2009936
Dong Nai,Phu Tho,669.4233834
Dong Nai,Thai Binh,1102.798696
Dong Nai,Quang Ninh,1033.3706
Khanh Hoa,Ha Noi,1241.657198
Khanh Hoa,Hai Phong,1341.494683
Khanh Hoa,Bac Ninh,1243.994177
Khanh Hoa,Hai Duong,1258.013828
Khanh Hoa,Thanh Hoa,998.9408163
Khanh Hoa,Nam Dinh,1382.461484
Khanh Hoa,Thai Nguyen,1205.155623
Khanh Hoa,Phu Tho,938.3780131
Khanh Hoa,Thai Binh,1371.753326
Khanh Hoa,Quang Ninh,1302.32523
Vung Tau,Ha Noi,994.2931358
Vung Tau,Hai Phong,1094.13062
Vung Tau,Bac Ninh,996.6301148
Vung Tau,Hai Duong,1010.649765
Vung Tau,Thanh Hoa,751.5767536
Vung Tau,Nam Dinh,1135.097421
Vung Tau,Thai Nguyen,957.7915606
Vung Tau,Phu Tho,691.0139505
Vung Tau,Thai Binh,1124.389263
Vung Tau,Quang Ninh,1054.961167
Ca Mau,Ha Noi,1189.745046
Ca Mau,Hai Phong,1289.58253
Ca Mau,Bac Ninh,1192.082025
Ca Mau,Hai Duong,1206.101675
Ca Mau,Thanh Hoa,947.0286637
Ca Mau,Nam Dinh,1330.549331
Ca Mau,Thai Nguyen,1153.243471
Ca Mau,Phu Tho,886.4658605
Ca Mau,Thai Binh,1319.841173
Ca Mau,Quang Ninh,1250.413077
Soc Trang,Ha Noi,1223.750224
Soc Trang,Hai Phong,1323.587709
Soc Trang,Bac Ninh,1226.087203
Soc Trang,Hai Duong,1240.106854
Soc Trang,Thanh Hoa,981.0338423
Soc Trang,Nam Dinh,1364.55451
Soc Trang,Thai Nguyen,1187.248649
Soc Trang,Phu Tho,920.4710392
Soc Trang,Thai Binh,1353.846352
Soc Trang,Quang Ninh,1284.418256
An Giang,Ha Noi,1209.686535
An Giang,Hai Phong,1309.524019
An Giang,Bac Ninh,1212.023514
An Giang,Hai Duong,1226.043164
An Giang,Thanh Hoa,966.9701528
An Giang,Nam Dinh,1350.49082
An Giang,Thai Nguyen,1173.18496
An Giang,Phu Tho,906.4073496
An Giang,Thai Binh,1339.782662
An Giang,Quang Ninh,1270.354566
Lam Dong,Ha Noi,2029.766055
Lam Dong,Hai Phong,2129.60354
Lam Dong,Bac Ninh,2032.103034
Lam Dong,Hai Duong,2046.122685
Lam Dong,Thanh Hoa,1787.049673
Lam Dong,Nam Dinh,2170.57034
Lam Dong,Thai Nguyen,1993.26448
Lam Dong,Phu Tho,1726.48687
Lam Dong,Thai Binh,2159.862183
Lam Dong,Quang Ninh,2090.434086
Binh Duong,Ha Noi,966.9340687
Binh Duong,Hai Phong,1066.771553
Binh Duong,Bac Ninh,969.2710477
Binh Duong,Hai Duong,983.2906982
Binh Duong,Thanh Hoa,724.2176866
Binh Duong,Nam Dinh,1107.738354
Binh Duong,Thai Nguyen,930.4324935
Binh Duong,Phu Tho,663.6548834
Binh Duong,Thai Binh,1097.030196
Binh Duong,Quang Ninh,1027.597
