city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Ho Chi Minh City,10.8167,106.6333,Vietnam,VN,Hồ Chí Minh,admin,13312000,7431000
Hanoi,21.0245,105.8412,Vietnam,VN,Hà Nội,primary,7785000,7785000
Haiphong,20.8000,106.6667,Vietnam,VN,Hải Phòng,admin,2103500,2103500
Cần Thơ,10.0333,105.7833,Vietnam,VN,Cần Thơ,admin,1237300,1237300
Biên Hòa,10.9277,106.8681,Vietnam,VN,Đồng Nai,admin,1104000,1104000
Thủ Đức,10.8199,106.7909,Vietnam,VN,Hồ Chí Minh,minor,1013795,1013795
Quảng Hà,16.0600,108.2500,Vietnam,VN,Quảng Nam,,1000000,887069
Bắc Ninh,21.1861,106.0763,Vietnam,VN,Bắc Ninh,admin,520000,520000
Hải Dương,20.9399,106.3309,Vietnam,VN,Hải Dương,admin,507469,507469
Vinh,18.6733,105.6922,Vietnam,VN,Nghệ An,admin,490000,490000
Huế,16.4637,107.5908,Vietnam,VN,Thừa Thiên-Huế,admin,455230,455230
Thanh Hóa,19.8075,105.7764,Vietnam,VN,Thanh Hóa,admin,393294,393294
Nha Trang,12.2495,109.1908,Vietnam,VN,Khánh Hòa,admin,392279,392279
Nam Định,20.4200,106.1683,Vietnam,VN,Nam Định,admin,352108,352108
Buôn Ma Thuột,12.6667,108.0500,Vietnam,VN,Đắk Lắk,admin,340000,340000
Thái Nguyên,21.6000,105.8500,Vietnam,VN,Thái Nguyên,admin,330000,330000
Vũng Tàu,10.4042,107.1417,Vietnam,VN,Bà Rịa-Vũng Tàu,admin,327000,327000
Cà Mau,9.1833,105.1500,Vietnam,VN,Cà Mau,admin,315270,315270
Quy Nhơn,13.7696,109.2314,Vietnam,VN,Bình Định,admin,311000,311000
Sóc Trăng,9.6000,105.9719,Vietnam,VN,Sóc Trăng,admin,300000,173922
Long Xuyên,10.3686,105.4234,Vietnam,VN,An Giang,admin,278658,278658
Việt Trì,21.3136,105.3947,Vietnam,VN,Phú Thọ,admin,277539,277539
Thái Bình,20.4461,106.3422,Vietnam,VN,Thái Bình,admin,268167,268167
Quảng Ngãi,15.1206,108.7922,Vietnam,VN,Quảng Ngãi,admin,260252,260252
Ấp Đa Lợi,11.9304,108.4200,Vietnam,VN,Lâm Đồng,,256019,131377
Rạch Giá,10.0125,105.0808,Vietnam,VN,Kiến Giang,admin,250660,250660
Thủ Dầu Một,11.0042,106.6583,Vietnam,VN,Bình Dương,admin,244277,244277
Tuy Hòa,13.0869,109.3086,Vietnam,VN,Phú Yên,admin,242840,242840
Bạc Liêu,9.2833,105.7167,Vietnam,VN,Bạc Liêu,admin,225000,150000
Sa Đéc,10.3105,105.7397,Vietnam,VN,Đồng Tháp,minor,213610,213610
Phan Thiết,10.9375,108.1583,Vietnam,VN,Bình Thuận,admin,205333,205333
Sơn Tây,21.1382,105.5050,Vietnam,VN,Hà Nội,minor,189547,40636
Phan Rang-Tháp Chàm,11.5643,108.9886,Vietnam,VN,Ninh Thuận,admin,179773,91520
Hạ Long,20.9514,107.0852,Vietnam,VN,Quảng Ninh,admin,172915,148066
Hà Tĩnh,18.3431,105.9058,Vietnam,VN,Hà Tĩnh,admin,165396,165396
Đồng Hới,17.4833,106.6000,Vietnam,VN,Quảng Bình,admin,160325,160325
Châu Đốc,10.7000,105.1167,Vietnam,VN,An Giang,,157298,157298
Cẩm Phả,21.0094,107.2728,Vietnam,VN,Quảng Ninh,minor,156000,156000
Cao Lãnh,10.4603,105.6331,Vietnam,VN,Đồng Tháp,admin,149837,149837
Lạng Sơn,21.8478,106.7578,Vietnam,VN,Lạng Sơn,admin,148000,148000
Cam Ranh,11.9020,109.2207,Vietnam,VN,Khánh Hòa,,146771,23883
Pleiku,13.9715,108.0147,Vietnam,VN,Gia Lai,admin,146073,146073
Tân An,10.5322,106.4042,Vietnam,VN,Long An,admin,137498,64801
Trà Vinh,9.9369,106.3411,Vietnam,VN,Trà Vinh,admin,131360,131360
Ninh Bình,20.2539,105.9750,Vietnam,VN,Ninh Bình,admin,130517,130517
Tây Ninh,11.3131,106.0963,Vietnam,VN,Tây Ninh,admin,126370,126370
Cam Ranh,11.9136,109.1369,Vietnam,VN,Khánh Hòa,minor,125311,125311
Mỹ Tho,10.3500,106.3500,Vietnam,VN,Tiền Giang,admin,124143,122310
Hội An,15.8777,108.3327,Vietnam,VN,Quảng Nam,,121716,121716
Hòa Bình,20.8175,105.3375,Vietnam,VN,Hòa Bình,admin,121309,121309
Mang La,14.3838,107.9833,Vietnam,VN,Kon Tum,,105489,47409
Vĩnh Long,10.2550,105.9753,Vietnam,VN,Vĩnh Long,admin,103314,103314
Vị Thanh,9.7833,105.4708,Vietnam,VN,Hậu Giang,admin,97200,97200
Yên Bái,21.7000,104.8667,Vietnam,VN,Yên Bái,admin,96540,96540
Dĩ An,10.9039,106.7679,Vietnam,VN,Bình Dương,minor,73859,73859
Quảng Trị,16.7504,107.2000,Vietnam,VN,Quảng Trị,,72722,72722
Phú Quốc,10.2289,103.9572,Vietnam,VN,Kiến Giang,minor,70000,70000
Lào Cai,22.4194,103.9950,Vietnam,VN,Lào Cai,admin,67206,36502
Bến Tre,10.2333,106.3833,Vietnam,VN,Bến Tre,admin,59442,59442
Bắc Giang,21.2731,106.1947,Vietnam,VN,Bắc Giang,admin,53728,53728
Hà Tiên,10.3833,104.4833,Vietnam,VN,Kiến Giang,minor,47039,47039
Cao Bằng,22.6731,106.2500,Vietnam,VN,Cao Bằng,admin,41112,41112
Bình Long,11.6504,106.6000,Vietnam,VN,Bình Phước,,40279,40279
Hà Giang,22.8233,104.9836,Vietnam,VN,Hà Giang,admin,38362,32690
Tuyên Quang,21.8281,105.2156,Vietnam,VN,Tuyên Quang,admin,36430,36430
Bắc Kạn,22.1514,105.8377,Vietnam,VN,Bắc Kạn,admin,29227,29227
Sơn La,21.3270,103.9141,Vietnam,VN,Sơn La,admin,19054,19054
Đông Hà,16.8056,107.0906,Vietnam,VN,Quảng Trị,admin,17662,17662
Quận Mười Một,10.7638,106.6436,Vietnam,VN,Hồ Chí Minh,minor,,
Quận Năm,10.7557,106.6675,Vietnam,VN,Hồ Chí Minh,minor,,
Quận Mười,10.7682,106.6663,Vietnam,VN,Hồ Chí Minh,minor,,
Quận Phú Nhuận,10.7948,106.6763,Vietnam,VN,Hồ Chí Minh,minor,,
Đống Đa,21.0201,105.8310,Vietnam,VN,Hà Nội,minor,,
Quận Sáu,10.7468,106.6490,Vietnam,VN,Hồ Chí Minh,minor,,
Hai BàTrưng,21.0134,105.8477,Vietnam,VN,Hà Nội,minor,,
Hoàn Kiếm,21.0286,105.8506,Vietnam,VN,Hà Nội,minor,,
Quận Ba,10.7749,106.6863,Vietnam,VN,Hồ Chí Minh,minor,,
Quận Một,10.7807,106.6994,Vietnam,VN,Hồ Chí Minh,minor,,
Cầu Giấy,21.0323,105.8007,Vietnam,VN,Hà Nội,minor,,
Quận Bốn,10.7668,106.7057,Vietnam,VN,Hồ Chí Minh,minor,,
Quận Tân Phú,10.7838,106.6370,Vietnam,VN,Hồ Chí Minh,minor,,
Quận Bình Thạnh,10.8033,106.6967,Vietnam,VN,Hồ Chí Minh,minor,,
Ba Đình,21.0341,105.8145,Vietnam,VN,Hà Nội,minor,,
Thanh Khê,16.0706,108.1910,Vietnam,VN,Đà Nẵng,minor,,
Thanh Xuân,20.9947,105.7998,Vietnam,VN,Hà Nội,minor,,
Đà Nẵng,16.0748,108.2240,Vietnam,VN,Đà Nẵng,admin,,
Quận Bảy,10.7118,106.7364,Vietnam,VN,Hồ Chí Minh,minor,,
Tây Hồ,21.0689,105.8105,Vietnam,VN,Hà Nội,minor,,
Hà Đông,20.9714,105.7788,Vietnam,VN,Hà Nội,minor,,
Lái Thiêu,10.9051,106.6995,Vietnam,VN,Bình Dương,minor,,
Cầu Diễn,21.0393,105.7666,Vietnam,VN,Hà Nội,minor,,
Hưng Yên,20.6464,106.0511,Vietnam,VN,Hưng Yên,admin,,
Quận Hai,10.7916,106.7495,Vietnam,VN,Hồ Chí Minh,minor,,
Hóc Môn,10.8891,106.5953,Vietnam,VN,Hồ Chí Minh,minor,,
Cẩm Lệ,16.0177,108.2038,Vietnam,VN,Đà Nẵng,minor,,
Văn Điển,20.9463,105.8450,Vietnam,VN,Hà Nội,minor,,
Quận Chín,10.8397,106.7709,Vietnam,VN,Hồ Chí Minh,minor,,
Sơn Trà,16.0607,108.2326,Vietnam,VN,Đà Nẵng,minor,,
Trâu Quỳ,21.0195,105.9369,Vietnam,VN,Hà Nội,minor,,
Phủ Lý,20.5453,105.9122,Vietnam,VN,Hà Nam,admin,,
Trôi,21.0695,105.7065,Vietnam,VN,Hà Nội,minor,,
Phùng,21.0890,105.6590,Vietnam,VN,Hà Nội,minor,,
Đông Anh,21.1396,105.8493,Vietnam,VN,Hà Nội,minor,,
Tân Túc,10.6954,106.5913,Vietnam,VN,Hồ Chí Minh,minor,,
Bình Thủy,10.0743,105.7397,Vietnam,VN,Cần Thơ,minor,,
Vĩnh Yên,21.3100,105.5967,Vietnam,VN,Vĩnh Phúc,admin,,
Tam Kỳ,15.5667,108.4833,Vietnam,VN,Quảng Nam,admin,,
Điện Biên Phủ,21.3833,103.0169,Vietnam,VN,Điện Biên,admin,,
Đồng Xoài,11.5349,106.8832,Vietnam,VN,Bình Phước,admin,,
Đà Lạt,11.9359,108.4429,Vietnam,VN,Lâm Đồng,admin,,
Lai Châu,22.3991,103.4393,Vietnam,VN,Lai Châu,admin,,
Kon Tum,14.3436,107.9789,Vietnam,VN,Kon Tum,admin,,
Gia Nghĩa,12.0042,107.6907,Vietnam,VN,Đắk Nông,admin,,
Ngũ Hành Sơn,16.0162,108.2534,Vietnam,VN,Đà Nẵng,minor,,
Thường Tín,20.8687,105.8612,Vietnam,VN,Hà Nội,minor,,
Thị Trấn Long Điền,10.4856,107.2123,Vietnam,VN,Bà Rịa-Vũng Tàu,minor,,
Liên Chiểu,16.0727,108.1581,Vietnam,VN,Đà Nẵng,minor,,
Cái Răng,10.0009,105.7510,Vietnam,VN,Cần Thơ,minor,,
Hòa Thành,11.2870,106.1294,Vietnam,VN,Tây Ninh,minor,,
Lý Sơn,15.3720,109.1189,Vietnam,VN,Quảng Ngãi,minor,,
Phúc Thọ,21.1034,105.5455,Vietnam,VN,Hà Nội,minor,,
An Dương,20.8638,106.6133,Vietnam,VN,Hải Phòng,minor,,
Mê Linh,21.1831,105.7204,Vietnam,VN,Hà Nội,minor,,
Như Quỳnh,20.9817,105.9849,Vietnam,VN,Hưng Yên,minor,,
Nhà Bè,10.6967,106.7403,Vietnam,VN,Hồ Chí Minh,minor,,
Liên Quan,21.0572,105.5792,Vietnam,VN,Hà Nội,minor,,
Yên Mỹ,20.8856,106.0356,Vietnam,VN,Hưng Yên,minor,,
Khoái Châu,20.8391,105.9776,Vietnam,VN,Hưng Yên,minor,,
Phú Quý,10.5166,108.9329,Vietnam,VN,Bình Thuận,minor,,
Kim Bài,20.8526,105.7696,Vietnam,VN,Hà Nội,minor,,
Văn Giang,20.9430,105.9312,Vietnam,VN,Hưng Yên,minor,,
Chúc Sơn,20.9237,105.7015,Vietnam,VN,Hà Nội,minor,,
Quốc Oai,20.9902,105.6409,Vietnam,VN,Hà Nội,minor,,
Xuân Trường,20.2923,106.3327,Vietnam,VN,Nam Định,minor,,
Hồ,21.0631,106.0857,Vietnam,VN,Bắc Ninh,minor,,
Núi Đèo,20.9157,106.6744,Vietnam,VN,Hải Phòng,minor,,
Yên Lạc,21.2365,105.5730,Vietnam,VN,Vĩnh Phúc,minor,,
Vĩnh Tường,21.2165,105.5125,Vietnam,VN,Vĩnh Phúc,minor,,
Núi Đối,20.7508,106.6689,Vietnam,VN,Hải Phòng,minor,,
Phú Xuyên,20.7455,105.9136,Vietnam,VN,Hà Nội,minor,,
An Lão,20.8229,106.5558,Vietnam,VN,Hải Phòng,minor,,
Cổ Lễ,20.3234,106.2658,Vietnam,VN,Nam Định,minor,,
Hưng Hà,20.5904,106.2245,Vietnam,VN,Thái Bình,minor,,
Bẩn Yên Nhân,20.9365,106.0571,Vietnam,VN,Hưng Yên,minor,,
Lim,21.1439,106.0202,Vietnam,VN,Bắc Ninh,minor,,
Ô Môn,10.1097,105.6232,Vietnam,VN,Cần Thơ,minor,,
Nam Giang,20.3332,106.1775,Vietnam,VN,Nam Định,minor,,
Vũ Thư,20.4367,106.2912,Vietnam,VN,Thái Bình,minor,,
Lai Cách,20.9325,106.2476,Vietnam,VN,Hải Dương,minor,,
Hậu Lộc,19.9144,105.8861,Vietnam,VN,Thanh Hóa,minor,,
Đông Hưng,20.5565,106.3553,Vietnam,VN,Thái Bình,minor,,
Chờ,21.1949,105.9547,Vietnam,VN,Bắc Ninh,minor,,
Bút Sơn,19.8580,105.8548,Vietnam,VN,Thanh Hóa,minor,,
Quảng Xương,19.7295,105.7827,Vietnam,VN,Thanh Hóa,minor,,
Quỳnh Côi,20.6619,106.3274,Vietnam,VN,Thái Bình,minor,,
Vân Đình,20.7351,105.7724,Vietnam,VN,Hà Nội,minor,,
Lương Bằng,20.7400,106.0600,Vietnam,VN,Hưng Yên,minor,,
Gia Lộc,20.8678,106.3000,Vietnam,VN,Hải Dương,minor,,
Thốt Nốt,10.2721,105.5338,Vietnam,VN,Cần Thơ,minor,,
Yên Định,20.2015,106.2958,Vietnam,VN,Nam Định,minor,,
Phú Thái,20.9628,106.5095,Vietnam,VN,Hải Dương,minor,,
Kẻ Sặt,20.9101,106.1477,Vietnam,VN,Hải Dương,minor,,
Sóc Sơn,21.2578,105.8489,Vietnam,VN,Hà Nội,minor,,
Thanh Nê,20.3881,106.4383,Vietnam,VN,Thái Bình,minor,,
Ninh Giang,20.7308,106.3979,Vietnam,VN,Hải Dương,minor,,
Thắng,21.3551,105.9834,Vietnam,VN,Bắc Giang,minor,,
Vĩnh Trụ,20.5602,106.0281,Vietnam,VN,Hà Nam,minor,,
Vạn Hà,19.8866,105.6788,Vietnam,VN,Thanh Hóa,minor,,
Chợ Mới,10.5512,105.4044,Vietnam,VN,An Giang,minor,,
Vĩnh Bảo,20.6908,106.4806,Vietnam,VN,Hải Phòng,minor,,
Ân Thi,20.8184,106.0912,Vietnam,VN,Hưng Yên,minor,,
Kinh Môn,20.9896,106.5551,Vietnam,VN,Hải Dương,minor,,
Thanh Miện,20.7871,106.2462,Vietnam,VN,Hải Dương,minor,,
Đại Nghĩa,20.6867,105.7447,Vietnam,VN,Hà Nội,minor,,
Thanh Hà,20.8982,106.4261,Vietnam,VN,Hải Dương,minor,,
Tân Châu,10.7983,105.2389,Vietnam,VN,An Giang,minor,,
Bình Minh,10.0682,105.8222,Vietnam,VN,Vĩnh Long,minor,,
Củ Chi,10.9733,106.4932,Vietnam,VN,Hồ Chí Minh,minor,,
Bích Động,21.2742,106.1007,Vietnam,VN,Bắc Giang,minor,,
Yên Ninh,20.1840,106.0612,Vietnam,VN,Ninh Bình,minor,,
Điện Bàn,15.8885,108.2545,Vietnam,VN,Quảng Nam,minor,,
Thứa,21.0194,106.2004,Vietnam,VN,Bắc Ninh,minor,,
Gia Bình,21.0594,106.1747,Vietnam,VN,Bắc Ninh,minor,,
Tân Hiệp,10.4490,106.3439,Vietnam,VN,Tiền Giang,minor,,
Rừng Thông,19.8191,105.7328,Vietnam,VN,Thanh Hóa,minor,,
Tứ Kỳ,20.8191,106.4066,Vietnam,VN,Hải Dương,minor,,
Ngô Đồng,20.2830,106.4435,Vietnam,VN,Nam Định,minor,,
Mỹ Lộc,20.4411,106.1024,Vietnam,VN,Nam Định,minor,,
Bình Mỹ,20.4912,106.0095,Vietnam,VN,Hà Nam,minor,,
Lâm,20.3277,106.0121,Vietnam,VN,Nam Định,minor,,
Hòa Mạc,20.6417,105.9890,Vietnam,VN,Hà Nam,minor,,
Diễn Châu,18.9765,105.6003,Vietnam,VN,Nghệ An,minor,,
Phong Điền,9.9975,105.6673,Vietnam,VN,Cần Thơ,minor,,
Vương,20.7011,106.1175,Vietnam,VN,Hưng Yên,minor,,
Cần Đước,10.5097,106.6031,Vietnam,VN,Long An,minor,,
Diêm Điền,20.5583,106.5688,Vietnam,VN,Thái Bình,minor,,
Tiên Lãng,20.7246,106.5539,Vietnam,VN,Hải Phòng,minor,,
Nam Sách,20.9921,106.3361,Vietnam,VN,Hải Dương,minor,,
Nga Sơn,20.0072,105.9704,Vietnam,VN,Thanh Hóa,minor,,
Phát Diệm,20.0905,106.0832,Vietnam,VN,Ninh Bình,minor,,
Cần Giuộc,10.6086,106.6713,Vietnam,VN,Long An,minor,,
An Phú,10.8159,105.0904,Vietnam,VN,An Giang,minor,,
Trảng Bom,10.9536,107.0059,Vietnam,VN,Đồng Nai,minor,,
Phú Vang,16.4391,107.7144,Vietnam,VN,Thừa Thiên-Huế,minor,,
Trần Cao,20.7295,106.1797,Vietnam,VN,Hưng Yên,minor,,
Lấp Vò,10.3616,105.5192,Vietnam,VN,Đồng Tháp,minor,,
Gôi,20.3334,106.0783,Vietnam,VN,Nam Định,minor,,
Hợp Hòa,21.3753,105.5426,Vietnam,VN,Vĩnh Phúc,minor,,
Phố Mới,21.1533,106.1516,Vietnam,VN,Bắc Ninh,minor,,
Vôi,21.3552,106.2615,Vietnam,VN,Bắc Giang,minor,,
Chợ Gạo,10.3498,106.4634,Vietnam,VN,Tiền Giang,minor,,
Lâm Thao,21.3201,105.2916,Vietnam,VN,Phú Thọ,minor,,
Liễu Đề,20.2209,106.1875,Vietnam,VN,Nam Định,minor,,
Tư Nghĩa,15.0845,108.8260,Vietnam,VN,Quảng Ngãi,minor,,
Long Hồ,10.1928,106.0123,Vietnam,VN,Vĩnh Long,minor,,
Long Khánh,10.9265,107.2478,Vietnam,VN,Đồng Nai,minor,,
Cao Thượng,21.3871,106.1293,Vietnam,VN,Bắc Giang,minor,,
Neo,21.2005,106.2474,Vietnam,VN,Bắc Giang,minor,,
Châu Thành,10.3012,106.3570,Vietnam,VN,Bến Tre,minor,,
An Nhơn,13.8858,109.1082,Vietnam,VN,Bình Định,minor,,
Phú Mỹ,10.5924,105.3557,Vietnam,VN,An Giang,minor,,
Chợ Lách,10.2603,106.1189,Vietnam,VN,Bến Tre,minor,,
Yên Thịnh,20.1625,106.0070,Vietnam,VN,Ninh Bình,minor,,
Phúc Yên,21.2370,105.7048,Vietnam,VN,Vĩnh Phúc,minor,,
Tây Đằng,21.1981,105.4222,Vietnam,VN,Hà Nội,minor,,
Lai Vung,10.2870,105.6617,Vietnam,VN,Đồng Tháp,minor,,
Phú Thọ,21.3996,105.2222,Vietnam,VN,Phú Thọ,minor,,
Thanh Lưu,20.4740,105.9527,Vietnam,VN,Hà Nam,minor,,
Quán Lào,19.9715,105.6511,Vietnam,VN,Thanh Hóa,minor,,
Thọ Xuân,19.9313,105.5218,Vietnam,VN,Thanh Hóa,minor,,
Bảo Lộc,11.5480,107.8077,Vietnam,VN,Lâm Đồng,minor,,
Thống Nhất,10.9505,107.1457,Vietnam,VN,Đồng Nai,minor,,
Hương Canh,21.2788,105.6470,Vietnam,VN,Vĩnh Phúc,minor,,
Mỏ Cày,10.1331,106.3352,Vietnam,VN,Bến Tre,minor,,
Hưng Nguyên,18.6716,105.6288,Vietnam,VN,Nghệ An,minor,,
Ngã Bảy,9.8137,105.8210,Vietnam,VN,Hậu Giang,minor,,
Tầm Vu,10.4411,106.4679,Vietnam,VN,Long An,minor,,
Vĩnh Bình,10.3450,106.5806,Vietnam,VN,Tiền Giang,minor,,
Tuy Phước,13.8274,109.1665,Vietnam,VN,Bình Định,minor,,
Quế,20.5806,105.8727,Vietnam,VN,Hà Nam,minor,,
Triệu Sơn,19.8191,105.6039,Vietnam,VN,Thanh Hóa,minor,,
Me,20.3470,105.8361,Vietnam,VN,Ninh Bình,minor,,
Lập Thạch,21.4154,105.4608,Vietnam,VN,Vĩnh Phúc,minor,,
Cái Tàu Hạ,10.2597,105.8704,Vietnam,VN,Đồng Tháp,minor,,
Sịa,16.5745,107.5107,Vietnam,VN,Thừa Thiên-Huế,minor,,
Thiên Tồn,20.2990,105.9520,Vietnam,VN,Ninh Bình,minor,,
Nông Cống,19.6240,105.6494,Vietnam,VN,Thanh Hóa,minor,,
Tân Trụ,10.5127,106.5076,Vietnam,VN,Long An,minor,,
Long Thành,10.7891,106.9503,Vietnam,VN,Đồng Nai,minor,,
Quảng Yên,20.9421,106.8027,Vietnam,VN,Quảng Ninh,minor,,
Mộ Đức,14.9551,108.8859,Vietnam,VN,Quảng Ngãi,minor,,
Hương Trà,16.5254,107.4755,Vietnam,VN,Thừa Thiên-Huế,minor,,
Cái Nhum,10.1741,106.1105,Vietnam,VN,Vĩnh Long,minor,,
Cầu Giát,19.1460,105.6309,Vietnam,VN,Nghệ An,minor,,
Vĩnh Lộc,20.0544,105.6157,Vietnam,VN,Thanh Hóa,minor,,
Sơn Tịnh,15.1586,108.7958,Vietnam,VN,Quảng Ngãi,minor,,
Một Ngàn,9.9240,105.6296,Vietnam,VN,Hậu Giang,minor,,
Ba Tri,10.0443,106.5902,Vietnam,VN,Bến Tre,minor,,
Giồng Trôm,10.1502,106.5061,Vietnam,VN,Bến Tre,minor,,
Cái Dầu,10.5698,105.2295,Vietnam,VN,An Giang,minor,,
Tân Hòa,10.3191,106.7113,Vietnam,VN,Tiền Giang,minor,,
Minh Lương,9.9025,105.1595,Vietnam,VN,Kiến Giang,minor,,
Hương Sơn,21.4601,105.9781,Vietnam,VN,Thái Nguyên,minor,,
Vũng Liêm,10.0958,106.1855,Vietnam,VN,Vĩnh Long,minor,,
Ngã Sáu,9.9230,105.8054,Vietnam,VN,Hậu Giang,minor,,
Bến Lức,10.6364,106.4910,Vietnam,VN,Long An,minor,,
Tam Điệp,20.1487,105.8985,Vietnam,VN,Ninh Bình,minor,,
Đô Lương,18.8985,105.3080,Vietnam,VN,Nghệ An,minor,,
Trà Ôn,9.9626,105.9217,Vietnam,VN,Vĩnh Long,minor,,
Tam Bình,10.0481,106.0002,Vietnam,VN,Vĩnh Long,minor,,
Nam Đàn,18.6980,105.4988,Vietnam,VN,Nghệ An,minor,,
Hậu Nghĩa,10.8943,106.3969,Vietnam,VN,Long An,minor,,
Nhơn Trạch,10.7229,106.8834,Vietnam,VN,Đồng Nai,minor,,
Kế Sách,9.7674,105.9857,Vietnam,VN,Sóc Trăng,minor,,
Tân Uyên,11.0609,106.7990,Vietnam,VN,Bình Dương,minor,,
Đức Thọ,18.5396,105.5830,Vietnam,VN,Hà Tĩnh,minor,,
Gò Dầu,11.0885,106.2635,Vietnam,VN,Tây Ninh,minor,,
Quán Hành,18.7793,105.6460,Vietnam,VN,Nghệ An,minor,,
Trà Cú,9.6977,106.2583,Vietnam,VN,Trà Vinh,minor,,
Thới Lai,10.0652,105.5586,Vietnam,VN,Cần Thơ,minor,,
Bồng Sơn,14.4291,109.0156,Vietnam,VN,Bình Định,minor,,
Cầu Kè,9.8724,106.0550,Vietnam,VN,Trà Vinh,minor,,
Cờ Đỏ,10.0938,105.4292,Vietnam,VN,Cần Thơ,minor,,
Tiểu Cần,9.8117,106.1907,Vietnam,VN,Trà Vinh,minor,,
An Châu,10.4456,105.3862,Vietnam,VN,An Giang,minor,,
Thanh Bình,10.5619,105.4841,Vietnam,VN,Đồng Tháp,minor,,
Yên Thành,18.9986,105.4712,Vietnam,VN,Nghệ An,minor,,
Trảng Bàng,11.0299,106.3575,Vietnam,VN,Tây Ninh,minor,,
Tĩnh Gia,19.4464,105.7786,Vietnam,VN,Thanh Hóa,minor,,
Long Phú,9.6102,106.1188,Vietnam,VN,Sóc Trăng,minor,,
Thị Trấn Phú Mỹ,10.6036,107.0540,Vietnam,VN,Bà Rịa-Vũng Tàu,minor,,
Nghi Xuân,18.6621,105.7557,Vietnam,VN,Hà Tĩnh,minor,,
Châu Thành,9.8699,106.3494,Vietnam,VN,Trà Vinh,minor,,
Châu Thành,9.7007,105.9020,Vietnam,VN,Sóc Trăng,minor,,
Vĩnh Thạnh,10.2226,105.3984,Vietnam,VN,Cần Thơ,minor,,
Hà Lam,15.7387,108.3506,Vietnam,VN,Quảng Nam,minor,,
Thanh Thủy,21.1755,105.2839,Vietnam,VN,Phú Thọ,minor,,
Mỹ Thọ,10.4427,105.6951,Vietnam,VN,Đồng Tháp,minor,,
Thị Trấn Đất Đỏ,10.4909,107.2701,Vietnam,VN,Bà Rịa-Vũng Tàu,minor,,
Nghèn,18.4512,105.7797,Vietnam,VN,Hà Tĩnh,minor,,
