city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Duy Xuyên,15.8290,108.2596,Vietnam,VN,Quảng Nam,minor,,
Thị Trấn Giá Rai,9.2379,105.4552,Vietnam,VN,Bạc Liêu,minor,,
Phong Châu,21.4068,105.3123,Vietnam,VN,Phú Thọ,minor,,
Diên Khánh,12.2549,109.0933,Vietnam,VN,Khánh Hòa,minor,,
Nàng Mau,9.7513,105.5345,Vietnam,VN,Hậu Giang,minor,,
Mỹ Xuyên,9.5601,105.9898,Vietnam,VN,Sóc Trăng,minor,,
Núi Sập,10.2648,105.2668,Vietnam,VN,An Giang,minor,,
Nghĩa Hành,15.0457,108.7772,Vietnam,VN,Quảng Ngãi,minor,,
Đức Phổ,14.8136,108.9593,Vietnam,VN,Quảng Ngãi,minor,,
Thạch Hà,18.3679,105.8612,Vietnam,VN,Hà Tĩnh,minor,,
Thị Trấn Ngải Giao,10.6471,107.2458,Vietnam,VN,Bà Rịa-Vũng Tàu,minor,,
Thanh Ba,21.4988,105.1410,Vietnam,VN,Phú Thọ,minor,,
Bình Sơn,15.2978,108.7612,Vietnam,VN,Quảng Ngãi,minor,,
Khánh Hải,11.5910,109.0405,Vietnam,VN,Ninh Thuận,minor,,
Vĩnh Châu,9.3244,105.9801,Vietnam,VN,Sóc Trăng,minor,,
Bình Đại,10.1896,106.6915,Vietnam,VN,Bến Tre,minor,,
Sông Thao,21.4213,105.1337,Vietnam,VN,Phú Thọ,minor,,
Cù Lao Dung,9.6731,106.1487,Vietnam,VN,Sóc Trăng,minor,,
Phụng Hiệp,9.7797,105.7338,Vietnam,VN,Hậu Giang,minor,,
Tân Hiệp,10.1171,105.2858,Vietnam,VN,Kiến Giang,minor,,
Giồng Riềng,9.9097,105.3143,Vietnam,VN,Kiến Giang,minor,,
Phước An,12.7130,108.3015,Vietnam,VN,Đắk Lắk,minor,,
Long Mỹ,9.6814,105.5723,Vietnam,VN,Hậu Giang,minor,,
Nhà Bàng,10.6177,105.0034,Vietnam,VN,An Giang,minor,,
Hưng Hóa,21.2549,105.2953,Vietnam,VN,Phú Thọ,minor,,
Ba Đồn,17.7535,106.4235,Vietnam,VN,Quảng Bình,minor,,
Thạnh Phú,9.9483,106.5163,Vietnam,VN,Bến Tre,minor,,
Cái Nước,8.9423,105.0141,Vietnam,VN,Cà Mau,minor,,
Thị Trấn Hòa Bình,9.2847,105.6292,Vietnam,VN,Bạc Liêu,minor,,
Gò Quao,9.7332,105.2739,Vietnam,VN,Kiến Giang,minor,,
Phú Ninh,15.5547,108.4114,Vietnam,VN,Quảng Nam,minor,,
An Biên,9.8153,105.0637,Vietnam,VN,Kiến Giang,minor,,
Đồi Ngô,21.3063,106.3867,Vietnam,VN,Bắc Giang,minor,,
Chí Thạnh,13.3084,109.2152,Vietnam,VN,Phú Yên,minor,,
Quế Sơn,15.6736,108.2201,Vietnam,VN,Quảng Nam,minor,,
Phù Mỹ,14.1718,109.0489,Vietnam,VN,Bình Định,minor,,
Gia Ray,10.9261,107.4017,Vietnam,VN,Đồng Nai,minor,,
Nho Quan,20.3228,105.7519,Vietnam,VN,Ninh Bình,minor,,
Thị Trấn Cao Lộc,21.8665,106.7683,Vietnam,VN,Lạng Sơn,minor,,
Thủ Thừa,10.6023,106.4021,Vietnam,VN,Long An,minor,,
Phú Lộc,9.4284,105.7411,Vietnam,VN,Sóc Trăng,minor,,
Cầu Gồ,21.4768,106.1265,Vietnam,VN,Bắc Giang,minor,,
Thị Trấn Phước Long,9.4375,105.4622,Vietnam,VN,Bạc Liêu,minor,,
Huỳnh Hữu Nghĩa,9.6354,105.8117,Vietnam,VN,Sóc Trăng,minor,,
Sa Rài,10.8702,105.4658,Vietnam,VN,Đồng Tháp,minor,,
Thị Trấn Gành Hào,9.0318,105.4211,Vietnam,VN,Bạc Liêu,minor,,
Đu,21.7385,105.7039,Vietnam,VN,Thái Nguyên,minor,,
Núi Thành,15.4319,108.6595,Vietnam,VN,Quảng Nam,minor,,
Phù Cát,14.0032,109.0580,Vietnam,VN,Bình Định,minor,,
Ái Tử,16.7689,107.1650,Vietnam,VN,Quảng Trị,minor,,
Bến Cầu,11.1105,106.1792,Vietnam,VN,Tây Ninh,minor,,
Tam Đảo,21.3932,105.6144,Vietnam,VN,Vĩnh Phúc,minor,,
Trần Văn Thời,9.0771,104.9791,Vietnam,VN,Cà Mau,minor,,
Thị Trấn Ngan Dừa,9.5670,105.4502,Vietnam,VN,Bạc Liêu,minor,,
Đại Lộc,15.8821,108.1209,Vietnam,VN,Quảng Nam,minor,,
Duyên Hải,9.6350,106.4924,Vietnam,VN,Trà Vinh,minor,,
Ngọc Lặc,20.0919,105.3676,Vietnam,VN,Thanh Hóa,minor,,
Buôn Trấp,12.4848,108.0298,Vietnam,VN,Đắk Lắk,minor,,
Cái Đôi Vàm,8.8571,104.8120,Vietnam,VN,Cà Mau,minor,,
Vạn Giã,12.6920,109.2207,Vietnam,VN,Khánh Hòa,minor,,
Vĩnh Thuận,9.5080,105.2575,Vietnam,VN,Kiến Giang,minor,,
Võ Xu,11.1869,107.5603,Vietnam,VN,Bình Thuận,minor,,
Thị Trấn Phước Bửu,10.5347,107.4020,Vietnam,VN,Bà Rịa-Vũng Tàu,minor,,
Kim Tân,20.1305,105.6745,Vietnam,VN,Thanh Hóa,minor,,
Phước Vĩnh,11.2947,106.7953,Vietnam,VN,Bình Dương,minor,,
Chùa Hang,21.6238,105.8417,Vietnam,VN,Thái Nguyên,minor,,
Cẩm Thủy,20.2087,105.4695,Vietnam,VN,Thanh Hóa,minor,,
Châu Thành,11.3117,106.0295,Vietnam,VN,Tây Ninh,minor,,
Dương Minh Châu,11.3841,106.2308,Vietnam,VN,Tây Ninh,minor,,
Dầu Tiếng,11.2741,106.3588,Vietnam,VN,Bình Dương,minor,,
Đoan Hùng,21.6225,105.1846,Vietnam,VN,Phú Thọ,minor,,
Tân Phú,11.2722,107.4365,Vietnam,VN,Đồng Nai,minor,,
Chợ Mới,21.8837,105.7728,Vietnam,VN,Bắc Kạn,minor,,
Đầm Dơi,8.9921,105.1960,Vietnam,VN,Cà Mau,minor,,
Tràm Chim,10.6700,105.5647,Vietnam,VN,Đồng Tháp,minor,,
Vụ Bản,20.4642,105.4435,Vietnam,VN,Hòa Bình,minor,,
Sơn Dương,21.6968,105.3990,Vietnam,VN,Tuyên Quang,minor,,
Cẩm Xuyên,18.2503,106.0013,Vietnam,VN,Hà Tĩnh,minor,,
Phú Lộc,16.2804,107.8590,Vietnam,VN,Thừa Thiên-Huế,minor,,
Tri Tôn,10.4202,105.0007,Vietnam,VN,An Giang,minor,,
Ninh Hòa,12.4919,109.1250,Vietnam,VN,Khánh Hòa,minor,,
Sông Cầu,13.4556,109.2235,Vietnam,VN,Phú Yên,minor,,
Quảng Phú,12.8196,108.0774,Vietnam,VN,Đắk Lắk,minor,,
Thới Bình,9.3558,105.0993,Vietnam,VN,Cà Mau,minor,,
Krông Năng,12.9517,108.3443,Vietnam,VN,Đắk Lắk,minor,,
Phước Dân,11.5270,108.9300,Vietnam,VN,Ninh Thuận,minor,,
Hàng Trạm,20.3947,105.6224,Vietnam,VN,Hòa Bình,minor,,
Thứ Mười Một,9.6114,104.9465,Vietnam,VN,Kiến Giang,minor,,
Hạ Hòa,21.5630,105.0051,Vietnam,VN,Phú Thọ,minor,,
Bo,20.6726,105.5362,Vietnam,VN,Hòa Bình,minor,,
Móng Cái,21.5298,107.9680,Vietnam,VN,Quảng Ninh,minor,,
Chũ,21.3738,106.5665,Vietnam,VN,Bắc Giang,minor,,
Đưc Trọng,11.7356,108.3733,Vietnam,VN,Lâm Đồng,minor,,
Chơn Thành,11.4282,106.6354,Vietnam,VN,Bình Phước,minor,,
Liên Hương,11.2276,108.7237,Vietnam,VN,Bình Thuận,minor,,
Lương Sơn,20.8715,105.5257,Vietnam,VN,Hòa Bình,minor,,
Thanh Chương,18.7788,105.3336,Vietnam,VN,Nghệ An,minor,,
Tân Thạnh,10.6067,106.0471,Vietnam,VN,Long An,minor,,
Hải Lăng,16.6935,107.2512,Vietnam,VN,Quảng Trị,minor,,
Hòa Vang,15.9876,108.1389,Vietnam,VN,Đà Nẵng,minor,,
Tân Kỳ,19.0476,105.2681,Vietnam,VN,Nghệ An,minor,,
Phú Phong,13.9096,108.9190,Vietnam,VN,Bình Định,minor,,
Chợ Chu,21.9072,105.6422,Vietnam,VN,Thái Nguyên,minor,,
Kỳ Sơn,20.8867,105.3524,Vietnam,VN,Hòa Bình,minor,,
Chi Nê,20.4906,105.7780,Vietnam,VN,Hòa Bình,minor,,
Mỹ Phước,10.4771,106.1926,Vietnam,VN,Tiền Giang,minor,,
Cam Lâm,12.0540,109.1600,Vietnam,VN,Khánh Hòa,minor,,
Thạnh Mỹ,11.7617,108.4947,Vietnam,VN,Lâm Đồng,minor,,
Hòn Đất,10.1846,104.9296,Vietnam,VN,Kiến Giang,minor,,
Cao Phong,20.7045,105.3206,Vietnam,VN,Hòa Bình,minor,,
Anh Sơn,18.9325,105.0760,Vietnam,VN,Nghệ An,minor,,
Kỳ Anh,18.0624,106.2983,Vietnam,VN,Hà Tĩnh,minor,,
Cần Giờ,10.4111,106.9547,Vietnam,VN,Hồ Chí Minh,minor,,
Gio Linh,16.9248,107.0844,Vietnam,VN,Quảng Trị,minor,,
Đắk Mil,12.4496,107.6224,Vietnam,VN,Đắk Nông,minor,,
Bù Đốp,11.9549,106.8002,Vietnam,VN,Bình Phước,minor,,
Đồng Nai,11.5798,107.3652,Vietnam,VN,Lâm Đồng,minor,,
Thị Trấn Đồng Văn,23.2784,105.3629,Vietnam,VN,Hà Giang,minor,,
Đinh Văn,11.7862,108.2428,Vietnam,VN,Lâm Đồng,minor,,
Mường Khến,20.6144,105.2795,Vietnam,VN,Hòa Bình,minor,,
Tiên Phước,15.4882,108.3074,Vietnam,VN,Quảng Nam,minor,,
Ea T’ling,12.5890,107.8958,Vietnam,VN,Đắk Nông,minor,,
Ea Kar,12.8082,108.4490,Vietnam,VN,Đắk Lắk,minor,,
Lộc Ninh,11.8448,106.5907,Vietnam,VN,Bình Phước,minor,,
Cát Bà,20.7278,107.0482,Vietnam,VN,Hải Phòng,minor,,
Năm Căn,8.7590,104.9929,Vietnam,VN,Cà Mau,minor,,
Thị Trấn Phố Lu,22.3192,104.1872,Vietnam,VN,Lào Cai,minor,,
Vĩnh An,11.0890,107.0352,Vietnam,VN,Đồng Nai,minor,,
Đông Thành,10.8922,106.3061,Vietnam,VN,Long An,minor,,
Chư Sê,13.6915,108.0802,Vietnam,VN,Gia Lai,minor,,
A Yun Pa,13.4003,108.4350,Vietnam,VN,Gia Lai,minor,,
Bến Sung,19.6314,105.5782,Vietnam,VN,Thanh Hóa,minor,,
Hữu Lũng,21.5056,106.3446,Vietnam,VN,Lạng Sơn,minor,,
Hồ Xá,17.0684,107.0052,Vietnam,VN,Quảng Trị,minor,,
Tân Châu,11.5520,106.1725,Vietnam,VN,Tây Ninh,minor,,
U Minh,9.4129,104.9735,Vietnam,VN,Cà Mau,minor,,
Thị Trấn Yên Thế,22.1107,104.7675,Vietnam,VN,Yên Bái,minor,,
Si Ma Cai,22.6951,104.2786,Vietnam,VN,Lào Cai,minor,,
Vĩnh Hưng,10.8907,105.7849,Vietnam,VN,Long An,minor,,
Thị Trấn Mèo Vạc,23.1641,105.4099,Vietnam,VN,Hà Giang,minor,,
Cam Lộ,16.8080,106.9941,Vietnam,VN,Quảng Trị,minor,,
Ma Lâm,11.0730,108.1300,Vietnam,VN,Bình Thuận,minor,,
Ngọc Hiển,8.6572,105.0602,Vietnam,VN,Cà Mau,minor,,
Thị Trấn Tân Yên,22.0655,105.0345,Vietnam,VN,Tuyên Quang,minor,,
Thanh Sơn,21.1987,105.1789,Vietnam,VN,Phú Thọ,minor,,
Sơn Thịnh,21.5625,104.5948,Vietnam,VN,Yên Bái,minor,,
Quỳ Hợp,19.3255,105.1825,Vietnam,VN,Nghệ An,minor,,
Yên Lập,21.3470,105.0574,Vietnam,VN,Phú Thọ,minor,,
Quảng Hà,21.4506,107.7559,Vietnam,VN,Quảng Ninh,minor,,
Cổ Phúc,21.7558,104.8277,Vietnam,VN,Yên Bái,minor,,
Cành Nàng,20.3480,105.2288,Vietnam,VN,Thanh Hóa,minor,,
Thạnh Hóa,10.6574,106.1808,Vietnam,VN,Long An,minor,,
Đăk Đoa,13.9950,108.1121,Vietnam,VN,Gia Lai,minor,,
Kiến Đức,11.9922,107.5109,Vietnam,VN,Đắk Nông,minor,,
Tân Biên,11.5444,106.0116,Vietnam,VN,Tây Ninh,minor,,
Phong Thổ,22.5443,103.2978,Vietnam,VN,Lai Châu,minor,,
Hoài Ân,14.3635,108.9648,Vietnam,VN,Bình Định,minor,,
Đức Phong,11.8135,107.2443,Vietnam,VN,Bình Phước,minor,,
Thị Trấn Yên Minh,23.1179,105.1416,Vietnam,VN,Hà Giang,minor,,
Lũng Hồ,22.9848,105.2398,Vietnam,VN,Hà Giang,minor,,
Hát Lót,21.1973,104.1060,Vietnam,VN,Sơn La,minor,,
Thị Trấn Vĩnh Tuy,22.2744,104.8909,Vietnam,VN,Hà Giang,minor,,
Thị Trấn Việt Quang,22.4151,104.8068,Vietnam,VN,Hà Giang,minor,,
Thị Trấn Thuận Châu,21.4385,103.6900,Vietnam,VN,Sơn La,minor,,
Đồng Mỏ,21.6570,106.5783,Vietnam,VN,Lạng Sơn,minor,,
Di Linh,11.5815,108.0764,Vietnam,VN,Lâm Đồng,minor,,
Kiến Giang,17.2233,106.7901,Vietnam,VN,Quảng Bình,minor,,
Thị Trấn Quảng Uyên,22.6950,106.4424,Vietnam,VN,Cao Bằng,minor,,
Thị Trấn Trùng Khánh,22.8351,106.5250,Vietnam,VN,Cao Bằng,minor,,
Mường Ảng,21.5199,103.2229,Vietnam,VN,Điện Biên,minor,,
Phố Châu,18.5133,105.4241,Vietnam,VN,Hà Tĩnh,minor,,
Thị Trấn Vinh Quang,22.7408,104.6796,Vietnam,VN,Hà Giang,minor,,
Tân Phú,11.4512,106.8681,Vietnam,VN,Bình Phước,minor,,
Cô Tô,20.9727,107.7658,Vietnam,VN,Quảng Ninh,minor,,
Than Uyên,21.9591,103.8800,Vietnam,VN,Lai Châu,minor,,
Chư Ty,13.8051,107.6961,Vietnam,VN,Gia Lai,minor,,
Tân Hưng,10.8348,105.6614,Vietnam,VN,Long An,minor,,
Văn Quan,21.8652,106.5393,Vietnam,VN,Lạng Sơn,minor,,
Phù Yên,21.2633,104.6444,Vietnam,VN,Sơn La,minor,,
Ea Drăng,13.2045,108.2103,Vietnam,VN,Đắk Lắk,minor,,
Mai Châu,20.6615,105.0824,Vietnam,VN,Hòa Bình,minor,,
Thuận Nam,10.8500,107.8786,Vietnam,VN,Bình Thuận,minor,,
Thị Trấn Nước Hai,22.7374,106.1522,Vietnam,VN,Cao Bằng,minor,,
Tân Sơn,11.7752,108.7848,Vietnam,VN,Ninh Thuận,minor,,
Đắk Mâm,12.4579,107.8625,Vietnam,VN,Đắk Nông,minor,,
Thị Trấn Vĩnh Lộc,22.1436,105.2719,Vietnam,VN,Tuyên Quang,minor,,
Huyện Chiêm Hóa,22.1441,105.2728,Vietnam,VN,Tuyên Quang,minor,,
Phong Điền,16.5832,107.3644,Vietnam,VN,Thừa Thiên-Huế,minor,,
Bắc Sơn,21.9000,106.3208,Vietnam,VN,Lạng Sơn,minor,,
Thị Trấn Phố Ràng,22.2343,104.4764,Vietnam,VN,Lào Cai,minor,,
Thị Trấn Mường Khương,22.7614,104.1216,Vietnam,VN,Lào Cai,minor,,
Sơn Hà,15.0419,108.4697,Vietnam,VN,Quảng Ngãi,minor,,
Đạ Tẻh,11.5115,107.4909,Vietnam,VN,Lâm Đồng,minor,,
Thị Trấn Tà Lùng,22.4979,106.5669,Vietnam,VN,Cao Bằng,minor,,
Tánh Linh,11.0842,107.6809,Vietnam,VN,Bình Thuận,minor,,
Thị Trấn Na Sầm,22.0564,106.6151,Vietnam,VN,Lạng Sơn,minor,,
Yên Châu,21.0458,104.3010,Vietnam,VN,Sơn La,minor,,
Yên Cát,19.6633,105.4285,Vietnam,VN,Thanh Hóa,minor,,
Thị Trấn Tam Sơn,23.0674,104.9893,Vietnam,VN,Hà Giang,minor,,
Hoàn Lão,17.5844,106.5342,Vietnam,VN,Quảng Bình,minor,,
Đắk Song,12.2552,107.6092,Vietnam,VN,Đắk Nông,minor,,
Đắk Hà,14.5135,107.9210,Vietnam,VN,Kon Tum,minor,,
Đắk Tô,14.6609,107.8389,Vietnam,VN,Kon Tum,minor,,
Tam Đường,22.3181,103.6262,Vietnam,VN,Lai Châu,minor,,
Sông Mã,21.0509,103.7499,Vietnam,VN,Sơn La,minor,,
Mộc Châu,20.8520,104.6218,Vietnam,VN,Sơn La,minor,,
Thị Trấn Hùng Quốc,22.8290,106.3234,Vietnam,VN,Cao Bằng,minor,,
Phú Hòa,14.1000,107.9690,Vietnam,VN,Gia Lai,minor,,
Lộc Thắng,11.6284,107.8351,Vietnam,VN,Lâm Đồng,minor,,
An Châu,21.3346,106.8493,Vietnam,VN,Bắc Giang,minor,,
Thị Trấn Tủa Chùa,21.8577,103.3426,Vietnam,VN,Điện Biên,minor,,
Sa Pa,22.3356,103.8419,Vietnam,VN,Lào Cai,minor,,
Lộc Bình,21.7587,106.9233,Vietnam,VN,Lạng Sơn,minor,,
Yên Bình,22.4099,104.5795,Vietnam,VN,Hà Giang,minor,,
Bắc Hà,22.5391,104.2931,Vietnam,VN,Lào Cai,minor,,
Quán Hàu,17.4044,106.6407,Vietnam,VN,Quảng Bình,minor,,
Hiệp Đức,15.5822,108.1142,Vietnam,VN,Quảng Nam,minor,,
Krông Kmar,12.5045,108.3329,Vietnam,VN,Đắk Lắk,minor,,
Hương Khê,18.1767,105.7002,Vietnam,VN,Hà Tĩnh,minor,,
Lang Chánh,20.1561,105.2422,Vietnam,VN,Thanh Hóa,minor,,
Thị Trấn Tuần Giáo,21.5899,103.4218,Vietnam,VN,Điện Biên,minor,,
Ma Đa Gui,11.3870,107.5351,Vietnam,VN,Lâm Đồng,minor,,
Thường Xuân,19.9029,105.3472,Vietnam,VN,Thanh Hóa,minor,,
Thị Trấn Xuân Hoà,22.9024,106.0774,Vietnam,VN,Cao Bằng,minor,,
Thị Trấn Việt Lâm,22.6249,104.9599,Vietnam,VN,Hà Giang,minor,,
Thị Trấn Vị Xuyên,22.6676,104.9819,Vietnam,VN,Hà Giang,minor,,
Ít Ong,21.5175,104.0270,Vietnam,VN,Sơn La,minor,,
Minh Long,14.9322,108.7033,Vietnam,VN,Quảng Ngãi,minor,,
Đồng Lê,17.8839,106.0254,Vietnam,VN,Quảng Bình,minor,,
Côn Đảo,8.6833,106.6063,Vietnam,VN,Bà Rịa-Vũng Tàu,minor,,
Đà Bắc,20.8771,105.2542,Vietnam,VN,Hòa Bình,minor,,
Trà Bồng,15.2557,108.5172,Vietnam,VN,Quảng Ngãi,minor,,
Chư Prông,13.7568,107.8862,Vietnam,VN,Gia Lai,minor,,
Chợ Rã,22.4511,105.7191,Vietnam,VN,Bắc Kạn,minor,,
Bát Xát,22.5431,103.8899,Vietnam,VN,Lào Cai,minor,,
Ia Pa,13.5336,108.4553,Vietnam,VN,Gia Lai,minor,,
Chợ Lầu,11.2216,108.5071,Vietnam,VN,Bình Thuận,minor,,
Khe Sanh,16.6282,106.7388,Vietnam,VN,Quảng Trị,minor,,
Tô Hạp,12.0058,108.9487,Vietnam,VN,Khánh Hòa,minor,,
Thị Trấn Thông Nông,22.7841,105.9832,Vietnam,VN,Cao Bằng,minor,,
Mường Chiên,21.8424,103.5661,Vietnam,VN,Sơn La,minor,,
Yên Phú,22.7322,105.3715,Vietnam,VN,Hà Giang,minor,,
Pác Miầu,22.8297,105.4933,Vietnam,VN,Cao Bằng,minor,,
Tân Việt,22.8641,105.4590,Vietnam,VN,Cao Bằng,minor,,
Củng Sơn,13.0500,108.9789,Vietnam,VN,Phú Yên,minor,,
Sa Thầy,14.4138,107.7934,Vietnam,VN,Kon Tum,minor,,
Trới,21.0314,106.9910,Vietnam,VN,Quảng Ninh,minor,,
Plei Kần,14.7049,107.6862,Vietnam,VN,Kon Tum,minor,,
Bộc Bố,22.6121,105.6671,Vietnam,VN,Bắc Kạn,minor,,
Bắc Yên,21.2463,104.4328,Vietnam,VN,Sơn La,minor,,
Đồng Xuân,13.3773,109.1081,Vietnam,VN,Phú Yên,minor,,
Thị Trấn Thất Khê,22.2553,106.4736,Vietnam,VN,Lạng Sơn,minor,,
Phủ Thông,22.2731,105.8794,Vietnam,VN,Bắc Kạn,minor,,
Thị Trấn Khánh Yên,22.0894,104.2515,Vietnam,VN,Lào Cai,minor,,
Thị Trấn Thanh Nhật,22.6875,106.6700,Vietnam,VN,Cao Bằng,minor,,
Kon Dơng,14.0389,108.2501,Vietnam,VN,Gia Lai,minor,,
Hai Riêng,12.9791,108.8973,Vietnam,VN,Phú Yên,minor,,
Bằng Lũng,22.1578,105.5956,Vietnam,VN,Bắc Kạn,minor,,
Thị Trấn Bảo Lạc,22.9492,105.6805,Vietnam,VN,Cao Bằng,minor,,
Điện Biên Đông,21.2967,103.2201,Vietnam,VN,Điện Biên,minor,,
M’Đrăk,12.7462,108.7428,Vietnam,VN,Đắk Lắk,minor,,
Lắk,12.4109,108.1768,Vietnam,VN,Đắk Lắk,minor,,
Thị Trấn Sìn Hồ,22.3665,103.2344,Vietnam,VN,Lai Châu,minor,,
Phú Túc,13.1968,108.6904,Vietnam,VN,Gia Lai,minor,,
Tây Trà,15.1695,108.3600,Vietnam,VN,Quảng Ngãi,minor,,
Kiên Lương,10.2862,104.6462,Vietnam,VN,Kiến Giang,minor,,
Quỳ Châu,19.5521,105.0939,Vietnam,VN,Nghệ An,minor,,
Bình Gia,21.9609,106.3645,Vietnam,VN,Lạng Sơn,minor,,
Thị Trấn Nguyên Bình,22.6500,105.9598,Vietnam,VN,Cao Bằng,minor,,
Vũ Quang,18.3838,105.5059,Vietnam,VN,Hà Tĩnh,minor,,
Ba Tơ,14.7636,108.7322,Vietnam,VN,Quảng Ngãi,minor,,
Yến Lạc,22.2369,106.1815,Vietnam,VN,Bắc Kạn,minor,,
Trà My,15.3397,108.2207,Vietnam,VN,Quảng Nam,minor,,
Thị Trấn Đông Khê,22.4294,106.4319,Vietnam,VN,Cao Bằng,minor,,
Vân Tùng,22.4308,105.9969,Vietnam,VN,Bắc Kạn,minor,,
Quan Hóa,20.3848,105.1002,Vietnam,VN,Thanh Hóa,minor,,
Mù Cang Chải,21.8513,104.0895,Vietnam,VN,Yên Bái,minor,,
Thị Trấn Na Hang,22.3492,105.3824,Vietnam,VN,Tuyên Quang,minor,,
Lạc Dương,12.0041,108.4191,Vietnam,VN,Lâm Đồng,minor,,
Vĩnh Thạnh,14.1088,108.7838,Vietnam,VN,Bình Định,minor,,
Mường Lát,20.5292,104.6014,Vietnam,VN,Thanh Hóa,minor,,
K Bang,14.1445,108.5991,Vietnam,VN,Gia Lai,minor,,
Ia Kha,13.9624,107.8448,Vietnam,VN,Gia Lai,minor,,
Thị Trấn Trạm Tấu,21.4666,104.3797,Vietnam,VN,Yên Bái,minor,,
Quan Sơn,20.2591,104.9452,Vietnam,VN,Thanh Hóa,minor,,
Con Cuông,19.0500,104.8812,Vietnam,VN,Nghệ An,minor,,
Ea Súp,13.0662,107.8855,Vietnam,VN,Đắk Lắk,minor,,
Khe Tre,16.1691,107.7179,Vietnam,VN,Thừa Thiên-Huế,minor,,
A Lưới,16.2723,107.2338,Vietnam,VN,Thừa Thiên-Huế,minor,,
An Lão,14.6124,108.8899,Vietnam,VN,Bình Định,minor,,
Quy Đạt,17.8046,105.9704,Vietnam,VN,Quảng Bình,minor,,
Kông Chro,13.7753,108.5256,Vietnam,VN,Gia Lai,minor,,
Mường Chà,21.7617,103.0978,Vietnam,VN,Điện Biên,minor,,
Krông Klang,16.6891,106.8874,Vietnam,VN,Quảng Trị,minor,,
Mường Xén,19.3980,104.1524,Vietnam,VN,Nghệ An,minor,,
Kim Sơn,19.6041,104.9190,Vietnam,VN,Nghệ An,minor,,
Đắk Glei,15.0864,107.7358,Vietnam,VN,Kon Tum,minor,,
Vân Canh,13.6195,108.9981,Vietnam,VN,Bình Định,minor,,
Khánh Vĩnh,12.2835,108.9047,Vietnam,VN,Khánh Hòa,minor,,
Sốp Cộp,20.9388,103.5971,Vietnam,VN,Sơn La,minor,,
Đắk Rve,14.5072,108.2473,Vietnam,VN,Kon Tum,minor,,
Prao,15.9244,107.6481,Vietnam,VN,Quảng Nam,minor,,
Hòa Bình,19.2639,104.4723,Vietnam,VN,Nghệ An,minor,,
Mường Nhé,22.1924,102.4579,Vietnam,VN,Điện Biên,minor,,
Bác Ái,11.8410,108.9032,Vietnam,VN,Ninh Thuận,minor,,
Đình Lập,21.5463,107.0981,Vietnam,VN,Lạng Sơn,minor,,
Khâm Đức,15.4451,107.7934,Vietnam,VN,Quảng Nam,minor,,
Thị Trấn Mường Tè,22.3807,102.8201,Vietnam,VN,Lai Châu,minor,,
Kon Plông,14.6006,108.2909,Vietnam,VN,Kon Tum,minor,,
Thạnh Mỹ,15.7489,107.8368,Vietnam,VN,Quảng Nam,minor,,
